bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
2B Knuckles, D         AA 27 | .186/.226/.265  68     | .178/.216/.253  65     | +- ||  65 | -25----- | IF,H
C  Hallam, C           AA 19 | .195/.235/.245  68     | .183/.218/.231  63     | +- ||  64 | 71------ | C,H
SS Aguila, O           AA 21 | .180/.219/.244  65     | .178/.216/.242  64     |  + ||  64 | -3576--- | SS,IF,H
1B Varnado, D           A 21 | .166/.188/.225  57     | .189/.218/.259  66     |  + ||  64 | -6------ | H
RF Jackson, V           A 23 | .197/.218/.252  65     | .193/.213/.248  64     | -+ ||  64 | -2---3-6 | OF,H
3B Bard, C              A 25 | .184/.210/.255  64     | .186/.211/.257  64     | -+ ||  64 | -3-6---- | IF,H
1B Zack, J              A 20 | .205/.225/.259  67     | .193/.210/.242  62     | -+ ||  63 | -4------ | H
2B Manus, J             A 23 | .187/.216/.259  65     | .179/.207/.248  63     |  - ||  63 | -37----- | IF,H
1B Santana, T           A 24 | .187/.208/.241  62     | .189/.211/.244  63     |  - ||  63 | -6------ | H
RF Oneal, J            AA 22 | .191/.215/.230  62     | .189/.213/.228  62     | -  ||  62 | -2---337 | CF,OF,H
1B McDowell, K          A 23 | .184/.208/.248  63     | .180/.205/.245  62     |    ||  62 | -3------ | H
C  Galdamez, O          A 22 | .176/.205/.205  58     | .186/.217/.218  61     |  + ||  61 | 61------ | C,H
SS Torre, J         4   A 21 | .185/.216/.253  65     | .170/.196/.229  59     |  + ||  60 | -3--98-2 | SS,IF,OF,H
CF Witherington, K      A 22 | .186/.210/.239  62     | .171/.192/.219  57     | ++ ||  58 | -2---262 | CF,OF,H
SS Stagner, G           A 18 | .173/.204/.218  59     | .162/.188/.203  55     |    ||  55 | -3-66--- | SS,IF,H
RF Bouck, J        F    A 22 | .149/.165/.178  48     | .171/.194/.205  56     | -- ||  55 | -2---4-6 | OF,H
1B Polito, J            A 17 | .154/.176/.192  51     | .158/.181/.197  53     |  + ||  52 | -5------ | H
RF Bertrand, S          A 19 | .141/.150/.180  45     | .159/.172/.208  52     |    ||  51 | -2---337 | CF,OF,H

                             |  H/9  K/9 BB/9 HR/9 |
MR Gonzalez, J     F   ML 36 |  7.9  7.5  2.4  0.4 | 124     | 135     |  + || 131 113 | MR,P
MR Clewis, B           ML 30 |  8.9  5.2  1.5  0.5 | 116     | 121     |  + || 119 102 | MR,P
SP Pilgrim, G          ML 28 |  8.7  5.6  2.0  0.5 | 116     | 116     |  + || 116     | SP,P
MR Garcia, Y          AAA 35 |  9.4  3.9  1.5  0.5 | 113     | 108     | +  || 110  95 | MR,P
SP Appel, M            ML 34 |  8.5  6.1  3.2  0.5 | 115     | 107     |  + || 109     | SP,P
SP Harvey, M       F   ML 37 |  8.1  6.8  2.7  0.8 | 101     | 112     |  + || 109     | SP,P
SP Britton, Z      F   ML 38 |  8.2  6.6  3.5  0.6 |  91     | 116     | ++ || 107     | SP,P
MR Emanuel, K      F   ML 33 |  9.0  4.6  1.5  0.8 | 103     | 108     |  + || 106  91 | MR,P
SP Bumgarner, M    F   ML 36 |  8.8  5.0  2.1  0.8 | 105     | 103     | -+ || 104     | SP,P
SP Santiago, L         ML 36 |  8.8  5.3  2.7  0.6 | 109     | 102     |  + || 104     | SP,P
SP Perez, B            ML 32 |  7.7  7.6  3.5  1.0 | 100     | 105     |  + || 103     | SP,P
MR Derosa, J          AAA 30 |  9.5  3.3  1.4  0.9 | 100     |  97     |  + ||  98  84 | MR,P
MR Sanchez, E      F   ML 37 |  8.0  6.4  2.3  1.4 | 100     |  94     |  - ||  96  83 | MR,P
SP Guerra, F       F  AAA 28 |  8.8  4.7  3.4  1.2 |  84     |  84     |  + ||  84     | SP,P
SP Pugliese, R        AAA 26 |  9.9  2.2  2.5  1.1 |  84     |  81     |  + ||  82     | SP,P
SP Garcia, A          AAA 24 |  9.4  3.1  3.1  1.4 |  72     |  80     |  - ||  77     | SP,P
SP Mutchler, H     F  AAA 28 |  8.8  4.2  3.3  1.6 |  74     |  78     |  - ||  77     | SP,P
MR Goode, V           AAA 24 |  9.3  3.0  2.9  1.6 |  81     |  73     | -+ ||  76  65 | MR,P
SP Scofield, E        AAA 27 |  9.1  3.4  3.0  1.6 |  73     |  77     |  + ||  76     | SP,P
MR Palermo, G         AAA 26 |  8.6  4.2  2.9  2.1 |  76     |  73     |  - ||  74  64 | MR,P
SP Rios, G          7 AAA 24 |  9.0  3.4  2.8  2.1 |  71     |  72     |  + ||  72     | SP,P
SP Stedman, S         AAA 21 |  9.0  3.4  3.3  2.0 |  65     |  72     | ++ ||  70     | SP,P
MR Casanova, B        AAA 26 |  9.0  3.7  4.4  1.7 |  65     |  71     |    ||  69  59 | MR,P
SP Hagerty, K       1  AA 20 |  9.0  3.6  4.3  1.8 |  64     |  70     | -+ ||  68     | SP,P
SP Gillispie, M        AA 22 |  9.2  3.2  4.3  1.7 |  65     |  70     | +  ||  68     | SP,P
MR Marden, W          AAA 22 |  8.9  3.4  3.6  2.2 |  63     |  69     |  + ||  67  57 | MR,P
MR Brubaker, J        AAA 24 |  9.2  3.1  4.0  1.9 |  67     |  67     |    ||  67  57 | MR,P
SP Rodgers, P       5  AA 24 |  9.1  3.2  4.2  1.8 |  70     |  66     |  + ||  67     | SP,P
SP Amezcua, O       2  AA 22 |  8.9  3.7  4.6  1.9 |  68     |  64     |  + ||  66     | SP,P
MR Swanson, B          AA 22 |  8.9  3.4  3.7  2.3 |  61     |  68     | +- ||  66  57 | MR,P
MR Penniman, D         AA 24 |  9.6  3.0  6.3  1.0 |  63     |  68     |    ||  66  57 | MR,P
SP Dunbar, C           AA 22 |  9.2  3.0  4.4  1.9 |  67     |  65     |    ||  65     | SP,P
MR Choe, B             AA 23 |  8.6  4.1  4.1  2.4 |  65     |  65     | -+ ||  65  56 | MR,P
SP Riccardi, B         AA 24 |  8.6  4.4  5.1  2.1 |  63     |  65     |  + ||  64     | SP,P
SP Reep, J              A 24 |  9.4  2.3  3.8  2.2 |  59     |  65     | ++ ||  63     | SP,P
MR Clemente, O         AA 21 |  8.4  4.2  4.7  2.6 |  60     |  61     |  + ||  61  52 | MR,P
MR Hardy, M            AA 24 |  9.2  2.9  4.9  2.1 |  58     |  63     |  + ||  61  52 | MR,P
SP Ibañez, S            A 18 |  9.2  3.0  6.1  2.0 |  54     |  60     |  + ||  58     | SP,P
SP Lofgren, G       6   A 19 |  9.3  1.9  3.3  2.9 |  64     |  56     |    ||  58     | SP,P
MR Nuss, D             AA 21 |  8.9  3.5  5.9  2.2 |  58     |  59     |  + ||  58  50 | MR,P
MR Paton, J            AA 22 |  9.4  2.6  5.9  2.0 |  66     |  55     |  + ||  58  50 | MR,P
SP Stringfield, D       A 23 |  8.5  3.8  5.0  2.8 |  54     |  60     | -- ||  58     | SP,P
MR Menendez, A          A 19 |  8.9  3.3  5.8  2.4 |  57     |  56     |  + ||  57  49 | MR,P
MR Chalker, R           A 21 |  9.1  2.3  5.0  2.7 |  57     |  54     |  + ||  55  47 | MR,P
MR Umstead, L           A 20 |  9.0  1.9  5.8  3.4 |  46     |  50     | -+ ||  49  42 | MR,P
SP Shiner, J            A 21 |  8.9  2.7  6.8  3.0 |  44     |  52     |  + ||  49     | SP,P
MR Jenner, D            A 22 |  9.0  2.9  7.9  2.6 |  46     |  51     |  - ||  49  42 | MR,P
MR Ortega, J            A 18 |  7.6  4.9  8.0  3.9 |  45     |  45     |    ||  45  38 | MR,P
MR Silva, B             A 19 |  9.0  1.7  8.1  3.8 |  44     |  40     | -+ ||  41  35 | MR,P
SP Cobos, D             A 18 |  9.0  1.4  8.4  4.1 |  40     |  40     | +- ||  40     | SP,P
MR Lipp, C              A 18 |  9.0  1.3  8.4  4.0 |  40     |  40     | ++ ||  40  34 | MR,P

(25) ML         (29) AAA        (27) AA         (27) A          (0) DL         
Alvarez, P      Baca, P         Aguila, O       Bard, C                         
Aplin, A        Brubaker, J     Amezcua, O      Bertrand, S                     
Appel, M        Canty, E        Calvo, M        Bouck, J                        
Asche, C        Casanova, B     Chick, G        Chalker, R                      
Ayo, A          Derosa, J       Choe, B         Cobos, D                        
Baldwin, G      Diaz, A         Clemente, O     Galdamez, O                     
Britton, Z      Gamboa, A       Crump, E        Ibañez, S                       
Bumgarner, M    Garcia, A       Dunbar, C       Jackson, V                      
Clewis, B       Garcia, Y       Edson, M        Jenner, D                       
Emanuel, K      Goode, V        Essex, A        Lipp, C                         
Fuentes, R      Greene, T       Gillispie, M    Lofgren, G                      
Gonzalez, J     Guerra, F       Hagerty, K      Manus, J                        
Harvey, M       Hachiro, S      Hallam, C       McDowell, K                     
Machado, D      Lavery, H       Hardy, M        Menendez, A                     
Michael, L      Linder, S       Knuckles, D     Ortega, J                       
Paredes, J      Marden, W       Kroeger, H      Polito, J                       
Perez, B        Mitsuo, K       McKeever, J     Reep, J                         
Pilgrim, G      Moreno, F       Millwood, E     Santana, T                      
Piscotty, S     Mutchler, H     Mucci, T        Shiner, J                       
Puello, C       Olguin, J       Nuss, D         Silva, B                        
Sanchez, E      Palermo, G      Oneal, J        Stagner, G                      
Santiago, L     Pollock Jr., A  Paton, J        Stringfield, D                  
Shipman, A      Pugliese, R     Penniman, D     Torre, J                        
Terrazas, A     Ramirez, C      Reck, L         Umstead, L                      
Velez, J        Rios, G         Riccardi, B     Varnado, D                      
                Rodriguez, C    Rodgers, P      Witherington, K                 
                Scofield, E     Swanson, B      Zack, J                         
                Stedman, S                                                      
                Warren, J                                                       
Total:108 (target 90-110)

  ML -> AAA  MR Garcia, Y
 AAA -> ML    C Velez, J
 AAA -> ML   SP Perez, B
 AAA -> AA   MR Choe, B
 AAA -> AA   MR Hardy, M
 AAA -> AA   SP Gillispie, M
 AAA -> AA   SP Amezcua, O
 AAA -> AA   SP Dunbar, C
  AA -> AAA  MR Brubaker, J
  AA -> AAA  SP Stedman, S
  AA -> AAA  MR Marden, W
  AA -> AAA  SP Rios, G
  AA -> AAA  LF Diaz, A
  AA -> AAA  CF Pollock Jr., A
  AA -> AAA  MR Casanova, B
  AA -> AAA  CF Linder, S
  AA -> A    SP Ibañez, S
  AA -> A    1B Varnado, D
  AA -> A    MR Menendez, A
  AA -> A    SP Reep, J
   A -> AAA   C Rodriguez, C
   A -> AA   LF Kroeger, H
   A -> AA   2B Essex, A
   A -> AA   SP Riccardi, B
   A -> AA   LF Millwood, E
   A -> AA   MR Nuss, D
   A -> AA   SS Aguila, O
   A -> AA   RF Oneal, J
  DL -> ML   SP Appel, M
  DL -> ML   1B Terrazas, A

   SP              LR              MR              SU              CL              NONE           
1. Pilgrim, G                      Britton, Z      Clewis, B       Gonzalez, J                    
2. Appel, M                        Bumgarner, M    Emanuel, K                                     
3. Harvey, M                       Sanchez, E                                                     
4. Santiago, L                                                                                    
5. Perez, B                                                                                       

vs RHP
 C: Velez, J        DR:                 BU: ( 2/50%) Puello, C      
1B: Alvarez, P      DR: Terrazas, A     BU: ( 3/33%) Terrazas, A     (10/10%) Baldwin, G     
2B: Michael, L      DR:                 BU: (10/10%) Asche, C        (10/10%) Paredes, J     
3B: Ayo, A          DR:                 BU: (10/10%) Asche, C        (20/ 5%) Paredes, J     
SS: Machado, D      DR:                 BU: ( 2/50%) Paredes, J     
LF: Shipman, A      DR:                 BU: (20/ 5%) Baldwin, G      ( T/ 1%) Piscotty, S    
CF: Fuentes, R      DR:                 BU: ( 3/33%) Piscotty, S     (20/ 5%) Puello, C      
RF: Aplin, A        DR:                 BU: ( 5/20%) Piscotty, S     (10/10%) Paredes, J     

vs RHP+DH
 C: Velez, J        DR:                 BU: ( 2/50%) Puello, C      
1B: Terrazas, A     DR:                 BU: ( 5/20%) Baldwin, G      ( T/ 1%) Asche, C       
2B: Michael, L      DR:                 BU: (10/10%) Asche, C        (10/10%) Paredes, J     
3B: Ayo, A          DR:                 BU: (10/10%) Asche, C        (20/ 5%) Paredes, J     
SS: Machado, D      DR:                 BU: ( 2/50%) Paredes, J     
LF: Shipman, A      DR:                 BU: (20/ 5%) Baldwin, G      ( T/ 1%) Piscotty, S    
CF: Fuentes, R      DR:                 BU: ( 3/33%) Piscotty, S     (20/ 5%) Puello, C      
RF: Aplin, A        DR:                 BU: ( 5/20%) Piscotty, S     (10/10%) Paredes, J     
DH: Alvarez, P      DR:                 BU: ( 5/20%) Baldwin, G      ( T/ 1%) Asche, C       

vs LHP
 C: Puello, C       DR: Velez, J        BU: ( 5/20%) Velez, J       
1B: Asche, C        DR: Fuentes, R      BU: (10/10%) Baldwin, G      ( T/ 1%) Terrazas, A    
2B: Michael, L      DR:                 BU: (10/10%) Paredes, J     
3B: Ayo, A          DR:                 BU: (20/ 5%) Paredes, J      (20/ 5%) Alvarez, P     
SS: Machado, D      DR:                 BU: ( 5/20%) Paredes, J     
LF: Aplin, A        DR: Fuentes, R      BU: ( 5/20%) Baldwin, G      (20/ 5%) Paredes, J     
CF: Shipman, A      DR: Fuentes, R      BU: (20/ 5%) Fuentes, R     
RF: Piscotty, S     DR: Fuentes, R      BU: (10/10%) Paredes, J      ( T/ 1%) Fuentes, R     

vs LHP+DH
 C: Puello, C       DR: Velez, J        BU: ( 5/20%) Velez, J       
1B: Baldwin, G      DR: Fuentes, R      BU: (10/10%) Terrazas, A     (20/ 5%) Alvarez, P     
2B: Michael, L      DR:                 BU: (10/10%) Paredes, J     
3B: Ayo, A          DR:                 BU: (20/ 5%) Paredes, J      (20/ 5%) Alvarez, P     
SS: Machado, D      DR:                 BU: ( 5/20%) Paredes, J     
LF: Aplin, A        DR: Fuentes, R      BU: (10/10%) Paredes, J      ( T/ 1%) Fuentes, R     
CF: Shipman, A      DR: Fuentes, R      BU: (20/ 5%) Fuentes, R     
RF: Piscotty, S     DR: Fuentes, R      BU: (10/10%) Paredes, J      ( T/ 1%) Fuentes, R     
DH: Asche, C        DR:                 BU: (20/ 5%) Terrazas, A     ( T/ 1%) Alvarez, P     

   vsRHP                 vsRHP+DH              vsLHP                 vsLHP+DH             
1. 2B S Michael, L       2B S Michael, L       2B S Michael, L       2B S Michael, L      
2. 3B R Ayo, A           1B L Terrazas, A      RF R Piscotty, S      RF R Piscotty, S     
3. RF L Aplin, A         DH L Alvarez, P        C R Puello, C         C R Puello, C       
4. 1B L Alvarez, P       3B R Ayo, A           3B R Ayo, A           3B R Ayo, A          
5. LF L Shipman, A       LF L Shipman, A       CF L Shipman, A       CF L Shipman, A      
6. SS R Machado, D       RF L Aplin, A         1B L Asche, C         DH L Asche, C        
7. CF L Fuentes, R       SS R Machado, D       SS R Machado, D       1B L Baldwin, G      
8.  C L Velez, J         CF L Fuentes, R       LF L Aplin, A         LF L Aplin, A        
9.  P                     C L Velez, J          P                    SS R Machado, D      

  | vsOvr | vsRpl | vsAcq |
R2| 0.289     | 0.411     | 0.335     |
R2| 3.471e+13 | 4.876e+13 | 3.247e+13 |

Replacement Level
Current: C: 79  SS:123  IF: 95  CF:115  OF: 98  H: 93  SP:104  MR: 92  P:103 
Future:  C: 79  SS:123  IF: 92  CF:114  OF: 94  H: 94  SP: 94  MR: 92  P: 95 

Roster Report
Primary: C:  4  SS:  9  IF: 11  CF: 12  OF: 13  H:  8  SP: 26  MR: 25 
Any:     C:  5  SS:  9  IF: 20  CF: 12  OF: 28  H: 57  SP: 26  MR: 25 
Ratio:   C: 20  SS: 90  IF: 27  CF:120  OF: 43  H: 26  SP: 52  MR: 62 
Needs:   C,IF,H
Surplus: CF,MR,SP,SS

1E | 109 (106-132) | 115 (108-161) 105/127 |  10/ 10 || 112 (105-132) | 122 (105-161) 110/134 |  50/ 50
1M | 103 ( 99-105) | 103 ( 99-105)  93/113 |  10/ 10 || 102 ( 98-109) | 102 ( 98-128)  93/112 |  50/ 50
1L |  99 ( 98- 99) |  99 ( 98-106)  90/109 |  10/ 10 ||  99 ( 94-105) |  99 ( 94-109)  90/109 |  50/ 50
2E |  96 ( 95- 98) |  97 ( 95- 99)  88/107 |  15/ 15 ||  96 ( 92-101) |  96 ( 92-101)  87/106 |  75/ 75
2L |  94 ( 93- 95) |  94 ( 93- 95)  85/103 |  15/ 15 ||  94 ( 92- 96) |  94 ( 92-101)  85/103 |  75/ 75

 1 | 103 ( 98-132) | 103 ( 98-161)  94/113 |  30/ 30 || 103 ( 94-132) | 104 ( 94-161)  95/114 | 150/150
 2 |  95 ( 93- 98) |  95 ( 93- 99)  86/105 |  30/ 30 ||  95 ( 92-101) |  95 ( 92-101)  86/105 | 150/150
 3 |  91 ( 90- 93) |  92 ( 90- 96)  83/101 |  30/ 30 ||  92 ( 89- 94) |  92 ( 89- 98)  84/101 | 150/150
 4 |  89 ( 88- 90) |  89 ( 88- 90)  81/ 98 |  30/ 30 ||  90 ( 87- 91) |  90 ( 87- 93)  82/ 99 | 150/150
 5 |  87 ( 86- 88) |  87 ( 86- 88)  79/ 96 |  30/ 30 ||  88 ( 85- 89) |  88 ( 85- 89)  80/ 97 | 150/150
 6 |  86 ( 85- 86) |  86 ( 85- 86)  78/ 95 |  30/ 30 ||  86 ( 83- 88) |  86 ( 83- 88)  78/ 95 | 150/150
 7 |  84 ( 84- 85) |  84 ( 84- 85)  76/ 92 |  30/ 30 ||  84 ( 82- 86) |  84 ( 82- 86)  76/ 92 | 150/150
 8 |  83 ( 82- 84) |  83 ( 82- 84)  75/ 91 |  30/ 30 ||  83 ( 81- 85) |  83 ( 81- 85)  75/ 91 | 150/150
 9 |  80 ( 79- 81) |  80 ( 79- 81)  73/ 88 |  30/ 30 ||  81 ( 78- 83) |  81 ( 78- 83)  74/ 89 | 150/150
10 |  78 ( 76- 79) |  78 ( 76- 79)  71/ 86 |  30/ 30 ||  78 ( 76- 82) |  78 ( 76- 82)  71/ 86 | 150/150
11 |  74 ( 73- 76) |  74 ( 73- 76)  67/ 81 |  30/ 30 ||  76 ( 73- 80) |  76 ( 73- 80)  69/ 84 | 150/150
12 |  71 ( 69- 72) |  71 ( 69- 72)  65/ 78 |  30/ 30 ||  73 ( 69- 79) |  73 ( 69- 79)  66/ 80 | 150/150
13 |  67 ( 65- 69) |  67 ( 65- 69)  61/ 74 |  30/ 30 ||  70 ( 65- 77) |  70 ( 65- 77)  64/ 77 | 150/150
14 |  63 ( 60- 65) |  63 ( 60- 65)  57/ 69 |  30/ 30 ||  66 ( 60- 75) |  66 ( 60- 75)  60/ 73 | 150/150
15 |  58 ( 51- 60) |  58 ( 51- 60)  53/ 64 |  29/ 29 ||  60 ( 51- 72) |  60 ( 51- 72)  55/ 66 | 149/149

**Extensions      ** |     OVR      vL/vR   vRpl   |     |          | XC | 
CF Shipman, A      34| 115/114     110/116  22/ 20 | 136 | -3---989 |    | CF,OF,H       | F   $3.29M   | $12.75M |    p3294 | Chicago (N) Cubs     | ***
MR Gonzalez, J     36| 113/106     124/135  27/ 27 | 132 |          |  + | MR,P          | F  $18.91M   |  $15.5M |    p1444 | Chicago (N) Cubs     | ****
2B Michael, L      35| 109/105     110/108  16/ 13 | 119 | -877---- | -- | IF,H          | F  $16.09M   |  $9.46M |    p3868 | Chicago (N) Cubs     | **^
MR Emanuel, K      33|  92/ 92     103/108   3/ 11 | 104 |          |  + | MR,P          | F    $2.5M   |  $2.32M |    p4310 | Chicago (N) Cubs     | *^
3B Asche, C        35|  99/ 95     101/ 99   6/  3 | 102 | -356---- |  + | IF,H          | F   $4.46M   |  $3.97M |       p5 | Chicago (N) Cubs     | **^
LF Baca, P         23|  78/ 94      72/ 79 -15/  0 | 101 | -2---4-2 |  - | OF,H          | FT           |         |     p839 | Chicago (N) Cubs     | +++
CF Piscotty, S     35|  99/ 95     102/ 98   6/  1 | 100 | -2---646 | -  | CF,OF,H       | F   $6.63M   |  $3.97M |    p4239 | Chicago (N) Cubs     | **
SP Harvey, M       37| 109/ 93     101/112   6/ -1 | 100 |          |  + | SP,P          | F   $9.23M   |  $3.97M |    p3780 | Chicago (N) Cubs     | **^
2B Lavery, H       26|  87/ 93      85/ 87  -6/  1 |  99 | -36----- | -  | IF,H          | F            |         |    p1880 | Chicago (N) Cubs     | *
SP Bumgarner, M    36| 104/ 95     105/103   1/  1 |  96 |          | -+ | SP,P          | F   $9.67M   |  $1.22M |    p2529 | Chicago (N) Cubs     | **^
LF Chick, G        22|  69/ 84      66/ 69 -24/-10 |  92 | -2---3-- |  - | OF,H          | F            |         |    p2868 | Chicago (N) Cubs     | +-
SP Britton, Z      38| 107/ 82      91/116   4/-12 |  88 |          | ++ | SP,P          | F    $960k   |  $2.87M |    p2798 | Chicago (N) Cubs     | **^
CF Linder, S       26|  71/ 78      76/ 70 -22/-16 |  86 | -2---868 | ++ | CF,OF,H       | F            |         |    p1530 | Chicago (N) Cubs     | *
SS Paredes, J      37|  95/ 79      87/ 96   2/-13 |  83 | -26562-7 | ++ | SS,OF,IF,H    | F   $4.47M   |  $1.77M |    p2298 | Chicago (N) Cubs     | **^
3B Alvarez, P      39| 105/ 69      88/108  12/-23 |  82 | -3-4---- | +  | IF,H          | F    $8.2M   |  $7.26M |     p740 | Chicago (N) Cubs     | **^
SP Guerra, F       28|  84/ 84      84/ 84 -19/-10 |  80 |          |  + | SP,P          | F            |         |    p2904 | Chicago (N) Cubs     | **^
RF Bouck, J        22|  55/ 72/ 71  48/ 56 -38/-23 |  78 | -2---4-6 | -- | OF,H          | F            |         |     p408 | Chicago (N) Cubs     | +
LF Moreno, F       27|  75/ 75      78/ 74 -18/-19 |  64 | -2---5-3 |  + | OF,H          | F            |         |     p590 | Chicago (N) Cubs     | *
SP Mutchler, H     28|  77/ 77      74/ 78 -26/-17 |  64 |          |  - | SP,P          | F            |         |    p2083 | Chicago (N) Cubs     | *
MR Sanchez, E      37|  83/ 69     100/ 94  -7/-15 |  59 |          |  - | MR,P          | F    $2.8M   |         |    p2271 | Chicago (N) Cubs     | **^

**Arbitration     ** |     OVR      vL/vR   vRpl   |     |          | XC | 
