  GOSU: Coefficients(1.00, [0.78, 2.34, 3.9, 2.34, 0.039])
SIMPLE: Coefficients(1.00, [0.8, 2.1, 3.4, 1.8, 0.1])
 TANGO: Coefficients(1.00, [0.726, 1.948, 3.134, 1.694, 0.052])
CURENT: Coefficients(1.00, [1.0991639999999878, 2.947757999999968, 4.744875999999948, 0.046999999999998585, 0.053])
act: 8841


runBB: 0.37
run1B: 0.56
run2B: 0.89
run3B: 1.21
runHR: 1.01
rnBIP: -0.06

runs-: 0.30
runs+: 0.62
wobas: 1.09

wobaBB: 0.73
woba1B: 0.93
woba2B: 1.29
woba3B: 1.64
wobaHR: 1.42


Batting: 3249/8321 0.281/0.719
Pitching: 4807/5587 0.462/0.538

           Hits | 0.129
        Doubles | 0.040
        Triples | 0.010
       HomeRuns | 0.046
          Walks | 0.095
             Ks | 0.254
Features: Contact, Gap, Power, Eye, Avoid K's, Running Speed
-- Hits
Selected: RandomForestScores: [(0.33106932277099027, RandomForest(...)), (0.32298211906238355, Isotonic(...)), (0.30230213638087233, Huber(...)), (0.3161789808104978, Linear(...))]Best Parameters: {'regressor__max_depth': 49, 'regressor__n_estimators': 2, 'selection__k': 2}Feature Scores: [76. 54. 37. 29. 43.  3.]Feature Mask: [ True  True False False False False]Feature Importances: [0.838 0.162]
-- Doubles
Selected: RandomForestScores: [(0.1969395894029543, RandomForest(...)), (0.11424891233436622, Isotonic(...)), (0.105109431533975, Huber(...)), (0.10590451445816436, Linear(...))]Best Parameters: {'regressor__max_depth': 9, 'regressor__n_estimators': 99, 'selection__k': 4}Feature Scores: [18. 14. 13. 18. 24.  2.]Feature Mask: [ True  True False  True  True False]Feature Importances: [0.426 0.119 0.161 0.293]
-- Triples
Selected: RandomForestScores: [(0.17732601976482673, RandomForest(...)), (0.03307613521658045, Isotonic(...)), (0.12370702853816233, Huber(...)), (0.16043287803628128, Linear(...))]Best Parameters: {'regressor__max_depth': 8, 'regressor__n_estimators': 88, 'selection__k': 4}Feature Scores: [12. 35. 13.  9. 17. 22.]Feature Mask: [False  True  True False  True  True]Feature Importances: [0.237 0.207 0.381 0.176]
-- HomeRuns
Selected: HuberScores: [(0.4970958072141281, RandomForest(...)), (0.4442709713849852, Isotonic(...)), (0.49462012175937103, Huber(...)), (0.47945353122389217, Linear(...))]Best Parameters: {'selection__k': 6}Feature Scores: [14. 13. 34.  7. 11.  0.]Coefficients: [-0.00936056  0.00839489  0.04993435  0.01917123 -0.00980338 -0.00866   ]Intercept: 0.0008650329458570902Feature Mask: [ True  True  True  True  True  True]
-- Walks
Selected: HuberScores: [(0.14254305333064446, RandomForest(...)), (0.16482729246611094, Isotonic(...)), (0.21216094385148784, Huber(...)), (0.2070953547773696, Linear(...))]Best Parameters: {'selection__k': 5}Feature Scores: [3. 2. 4. 9. 5. 0.]Coefficients: [-0.0215347  -0.03318015  0.01634206  0.10532561  0.03956709]Intercept: 0.004988349342293752Feature Mask: [ True  True  True  True  True False]
-- Ks
Selected: RandomForestScores: [(0.23376643377180237, RandomForest(...)), (0.12023587274482421, Isotonic(...)), (0.1897403255397929, Huber(...)), (0.2067033257709334, Linear(...))]Best Parameters: {'regressor__max_depth': 1, 'regressor__n_estimators': 5, 'selection__k': 3}Feature Scores: [45. 45. 29. 27. 46.  5.]Feature Mask: [ True  True False False  True False]Feature Importances: [0.6 0.  0.4]

           Hits | 0.054
        Doubles | 0.035
       HomeRuns | 0.021
          Walks | 0.025
             Ks | 0.044
Features: Stuff, Control, Movement, Groundball Pct., Endurance
-- Hits
Selected: HuberScores: [(0.09861274656802703, RandomForest(...)), (-0.01612763410002993, Isotonic(...)), (0.21798516023183986, Huber(...)), (0.20887828852517468, Linear(...))]Best Parameters: {'selection__k': 3}Feature Scores: [23.  2. 17.  1.  1.]Coefficients: [-0.07867526  0.08989726 -0.04147175]Intercept: 0.259178452742236Feature Mask: [ True  True  True False False]
-- Doubles
Selected: HuberScores: [(-0.1711216086432481, RandomForest(...)), (-0.18484724949098355, Isotonic(...)), (-0.06896058732579761, Huber(...)), (-0.07193612776939758, Linear(...))]Best Parameters: {'selection__k': 1}Feature Scores: [5. 1. 6. 1. 0.]Coefficients: [0.01114164]Intercept: 0.04937241069887546Feature Mask: [False False  True False False]
-- HomeRuns
Selected: LinearScores: [(0.11384984109331253, RandomForest(...)), (0.026787227177391532, Isotonic(...)), (0.04968477096845029, Huber(...)), (0.0809531740378902, Linear(...))]Best Parameters: {'selection__k': 4}Feature Scores: [1. 2. 8. 0. 0.]Coefficients: [ 2.24258886e-04 -3.31930960e-05 -9.26139507e-04  1.83281851e-04]Intercept: 0.07483045792381489Feature Mask: [ True  True  True False  True]
-- Walks
Selected: LinearScores: [(0.059139085309726745, RandomForest(...)), (0.05321651005155048, Isotonic(...)), (0.2455888535757037, Huber(...)), (0.2599366164440231, Linear(...))]Best Parameters: {'selection__k': 5}Feature Scores: [ 5. 33.  7.  1.  0.]Coefficients: [-3.12184993e-05 -1.51902667e-03 -2.25196847e-04 -1.27171332e-04 -3.49057540e-03]Intercept: 0.2307085821306181Feature Mask: [ True  True  True  True  True]
-- Ks
Selected: LinearScores: [(0.5698085633356315, RandomForest(...)), (0.547419528611489, Isotonic(...)), (0.5912407214119549, Huber(...)), (0.6233501082544974, Linear(...))]Best Parameters: {'selection__k': 1}Feature Scores: [105.   8.  28.   0.   1.]Coefficients: [0.00217149]Intercept: 0.04309012256154071Feature Mask: [ True False False False False]

Hitting Features
             Average |  -   107   +  |   5  15  25  35  45  55  65  75  85  95
             Contact | 113 ( -5) 108 |  83  83  82  81 101 113 107 108 106 106
                 Gap | 105 ( -3) 102 | 100  99  99  98  97 105 102 102 102 101
               Power | 106 (  2) 108 | 102 104 104 105 106 109 109 110 111 113
                 Eye | 104 (  7) 111 |  88  91  94  97 101 103 107 110 114 116
           Avoid K's | 108 (  0) 108 | 104 105 106 109 111 107 107 110 111 112
       Running Speed | 107 (  1) 108 | 107 107 107 107 107 108 108 109 109 108

Pitching Features
             Average |  -   102   +  |   5  15  25  35  45  55  65  75  85  95
               Stuff |  96 ( 12) 108 |  66  70  75  79  84  90  95 101 107 115
             Control | 101 (  3) 104 | 100 100 100 100 101 101 102 102 103 104
            Movement |  95 ( 17) 112 |  64  68  73  79  84  91  98 107 118 129
     Groundball Pct. | 101 (  2) 103 |  99 100 101 101 102 103 103 104 104 105
           Endurance |  86 ( 35) 121 | 

3B Santiago, A     23| .350/.411/.504 125  41 | .379/.431/.514 130 109 | -3552---   4 |  + || 133 || ML     *    |
MR Planas, S         *  ~  ML 32 | 10.2  7.6  3.1  1.1 |  81 111 |  90  92 |  - |  58/ 76 ||  76 ||
MR Balcom, W         *+    ML 34 | 11.4  6.3  2.0  0.7 |  80  54 |  89  93 | -  |  42/ 75 ||  75 ||
SP Bonfiglio, B     5      AA 21 | 11.5  4.2  4.5  1.1 |  66     |  73     | ++ |  71/ 61 ||  71 ||
SP Ramirez, T             AAA 19 | 10.5  5.9  5.2  1.6 |  72     |  73     | ++ |  71/ 63 ||  71 ||
MR Blood, J               AAA 22 | 11.0  6.1  4.0  1.0 |  78     |  77     |  + |  38/ 67 ||  67 ||
SP Mirlo, R         3       A 21 | 12.6  4.0  4.2  1.5 |  63     |  65     |    |  62/ 55 ||  62 ||
MR Villanueva, G          AAA 20 | 10.4  5.1  6.1  0.9 |  74     |  71     |  + |  47/ 62 ||  62 ||
SP Hursey, G        2*  ~  AA 22 | 11.0  4.6  7.0  1.9 |  60  66 |  63  58 |  + |  60/ 54 ||  60 ||
SP Stanberry, M             A 18 | 10.8  3.8  8.4  1.7 |  62     |  58     |  + |  57/ 51 ||  57 ||
SP Bolivar, J           ~  AA 19 | 14.3  4.1  3.3  2.4 |  55     |  57     |    |  55/ 49 ||  55 ||
MR Johnson, D              AA 22 | 11.6  5.1  5.8  1.6 |  69     |  62     | -+ |  42/ 55 ||  55 ||
MR Navarro, A               A 19 | 12.5  4.9  5.7  2.1 |  57     |  59     |  + |  38/ 50 ||  50 ||
MR Castor, I                A 18 | 11.6  3.8  8.0  1.4 |  57     |  58     |    |  28/ 49 ||  49 ||

 (35) ML               | (11) AAA              | (11) AA               | (10) A                | ( 0) DL               |
 SP Bray, J         34 | SP Ramirez, T      19 | SP Bolivar, J      19 | SP Mirlo, R        21 |                       |
 SP Colon, H        25 | SP Spengler, M     29 | SP Bonfiglio, B    21 | SP Stanberry, M    18 |                       |
 SP Dennis, B       27 | MR Blood, J        22 | SP Hursey, G       22 | MR Castor, I       18 |                       |
 SP Gillen, M       34 | MR Villanueva, G   20 | MR Johnson, D      22 | MR Navarro, A      19 |                       |
 SP Hurst, R        36 |  C Diaz, R         21 | 1B Province, R     22 | 3B Martinez, A     19 |                       |
 SP Milsap, W       36 | 3B Burns, J        21 | 1B Salerno, C      31 | SS Barton, M       23 |                       |
 SP Raymond, J      33 | 3B Escobar, J      30 | 2B Fernandez, R    21 | CF Miranda, J      17 |                       |
 SP Trautman, E     32 | SS Davis, Z        25 | 2B Mercado, M      22 | CF Vankirk, P      19 |                       |
 MR Balcom, W       34 | LF Borrero, P      25 | 2B Moya, L         23 | RF Johnson, T      24 |                       |
 MR Johnston, M     34 | LF Torres, J       30 | LF Shisler, D      23 | RF Morales, G      21 |                       |
 MR Luna, M         36 | CF Anthony, D      22 | RF Sherman, J      25 |                       |                       |
 MR Planas, S       32 |                       |                       |                       |                       |
 MR Santoyo, J      33 |                       |                       |                       |                       |
  C Baxter, H       34 |                       |                       |                       |                       |
  C Kelly, S        27 |                       |                       |                       |                       |
  C Urrutia, R      34 |                       |                       |                       |                       |
 1B Burford, J      34 |                       |                       |                       |                       |
 2B Fusco, R        29 |                       |                       |                       |                       |
 2B Hellwig, D      26 |                       |                       |                       |                       |
 2B Klein, F        30 |                       |                       |                       |                       |
 3B Castillo, J     31 |                       |                       |                       |                       |
 3B Santiago, A     23 |                       |                       |                       |                       |
 SS Gaffney, C      31 |                       |                       |                       |                       |
 SS Hipple, S       36 |                       |                       |                       |                       |
 SS Kim, K          24 |                       |                       |                       |                       |
 SS Llorent, A      37 |                       |                       |                       |                       |
 LF Suarez, J       29 |                       |                       |                       |                       |
 CF Anderson, I     30 |                       |                       |                       |                       |
 RF Broyles, J      28 |                       |                       |                       |                       |
 RF Campbell, T     34 |                       |                       |                       |                       |
 RF Glessner, K     27 |                       |                       |                       |                       |
 RF Howells, T      29 |                       |                       |                       |                       |
 RF Kensaku, L      32 |                       |                       |                       |                       |
 RF Telles, T       36 |                       |                       |                       |                       |
 RF Tetreault, A    36 |                       |                       |                       |                       |
Total:67 (target 70-75)
Balance:42/25 = 1.680 (ideal: 1.273)

 AAA -> ML   RF John Broyles
 AAA -> ML   3B Ariel Santiago
 AAA -> ML   SP Brett Dennis
 AAA -> ML   2B Robert Fusco
 AAA -> ML    C Sam Kelly
 AAA -> ML   SP Hector Colon
 AAA -> ML   SP Eric Trautman
 AAA -> ML    C Herbert Baxter
  AA -> ML   2B Dominick Hellwig
  AA -> AAA  LF Paul Borrero
  AA -> AAA  SP Tony Ramirez
  AA -> AAA  3B Jamey Escobar
  AA -> A    SP Roberto Mirlo
   A -> AAA  CF Daniel Anthony
   A -> AAA  MR Gonzalo Villanueva
   A -> AAA  3B Jerry Burns
   A -> AA   LF Derrick Shisler
   A -> AA   SP Brian Bonfiglio
  DL -> ML   LF Jose Suarez

SP
Jacob Raymond
Robert Hurst
Brett Dennis
Monte Gillen
Wayne Milsap

LR
Hector Colon
Eric Trautman

MR
Jamaal Bray
Serafin Planas
Wayne Balcom

SU
Manuel Luna
Jon Santoyo

CL
Milton Johnston

NONE


BP Ability: 129
BP Endrnce: 20.5

--- Slow Hook ---

vs RHP
 C| Urrutia, R      (D) Baxter, H       | C| ( 1) Baxter, H       ( 1) Kelly, S       
1B| Campbell, T     (D) Burford, J      |1B| ( 1) Kensaku, L      ( 1) Tetreault, A    ( 1) Burford, J     
2B| Fusco, R        (D) Castillo, J     |2B| ( 1) Llorent, A      ( 1) Klein, F       
3B| Santiago, A     (D) Castillo, J     |3B| ( 1) Llorent, A      ( 1) Hellwig, D      ( 1) Castillo, J    
SS| Hipple, S       (D) Kim, K          |SS| ( 1) Llorent, A      ( 1) Kim, K          ( 1) Gaffney, C     
LF| Telles, T       (D) Anderson, I     |LF| ( 1) Broyles, J     
CF| Howells, T      (D) Anderson, I     |CF| ( 1) Anderson, I    
RF| Glessner, K     (D)                 |RF| ( 1) Broyles, J      ( 1) Suarez, J      

vs RHP+DH
 C| Urrutia, R      (D) Baxter, H       | C| ( 1) Baxter, H       ( 1) Kelly, S       
1B| Campbell, T     (D) Burford, J      |1B| ( 1) Kensaku, L      ( 1) Tetreault, A    ( 1) Burford, J     
2B| Fusco, R        (D) Castillo, J     |2B| ( 1) Llorent, A      ( 1) Klein, F       
3B| Santiago, A     (D) Castillo, J     |3B| ( 1) Llorent, A      ( 1) Hellwig, D      ( 1) Castillo, J    
SS| Hipple, S       (D) Kim, K          |SS| ( 1) Llorent, A      ( 1) Kim, K          ( 1) Gaffney, C     
LF| Telles, T       (D) Broyles, J      |LF| ( 1) Broyles, J     
CF| Anderson, I     (D)                 |CF| ( 1) Kensaku, L     
RF| Howells, T      (D)                 |RF| ( 1) Broyles, J      ( 1) Suarez, J      
DH| Glessner, K     (D)                 |DH| ( 1) Kensaku, L     

vs LHP
 C| Baxter, H       (D)                 | C| ( 1) Kelly, S       
1B| Urrutia, R      (D) Burford, J      |1B| ( 1) Kelly, S        ( 1) Hellwig, D      ( 1) Klein, F       
2B| Castillo, J     (D)                 |2B| ( 1) Llorent, A     
3B| Santiago, A     (D)                 |3B| ( 1) Llorent, A     
SS| Hipple, S       (D) Kim, K          |SS| ( 1) Llorent, A      ( 1) Kim, K          ( 1) Gaffney, C     
LF| Suarez, J       (D) Broyles, J      |LF| ( 1) Broyles, J      ( 1) Telles, T       ( 1) Kensaku, L     
CF| Anderson, I     (D)                 |CF| ( 1) Howells, T      ( 1) Burford, J     
RF| Glessner, K     (D)                 |RF| ( 1) Tetreault, A    ( 1) Campbell, T     ( 1) Fusco, R       

vs LHP+DH
 C| Baxter, H       (D)                 | C| ( 1) Kelly, S       
1B| Santiago, A     (D) Burford, J      |1B| ( 1) Kelly, S        ( 1) Burford, J     
2B| Castillo, J     (D)                 |2B| ( 1) Hellwig, D      ( 1) Gaffney, C      ( 1) Klein, F       
3B| Hipple, S       (D)                 |3B| ( 1) Hellwig, D     
SS| Llorent, A      (D)                 |SS| ( 1) Kim, K         
LF| Suarez, J       (D) Broyles, J      |LF| ( 1) Broyles, J      ( 1) Telles, T       ( 1) Kensaku, L     
